Jahr,2012,2013,2014,2015,2016
Charlottenburg-Wilmersdorf,16.495,17.945,19.288,18.346,17.265
Friedrichshain-Kreuzberg,24.266,25.858,28.432,32.484,36.890
Lichtenberg,11.923,13.492,12.693,12.594,15.370
Marzahn-Hellersdorf,35.461,38.699,40.468,43.344,55.895
Mitte,27.135,28.429,28.780,30.076,28.835
Neukšlln,26.528,30.287,33.678,34.769,36.286
Pankow,11.018,12.749,13.510,14.625,19.322
Reinickendorf,8.702,10.393,11.446,14.473,17.163
Spandau,17.373,17.491,22.741,26.947,28.695
Steglitz-Zehlendorf,9.207,10.873,12.288,11.819,13.502
Tempelhof-Schšneberg,24.140,26.694,27.874,29.527,32.286
Treptow-Kšpenick,10.752,13.090,11.803,12.997,15.493
